Code,Occupation,Category,Description,Examples,SOC code,Added in final rule
501,Personal Care and Service Workers,Personal Services,"Provide personalized assistance to individuals with disabilities or illness who require help with personal care and activities of daily living support (for example, feeding, bathing, dressing, grooming, toileting, and ambulation). May also provide help with tasks such as preparing meals, doing light housekeeping, and doing laundry. Work is performed in various settings depending on the needs of the care recipient and may include locations such as their home, place of work, out in the community, at a daytime nonresidential facility, or a residential facility","Elderly companion, personal care aide, butler, house sitter, personal valet","31-1122, 39-9099",no
502,Private Event Planners,Personal Services,Coordinate activities of staff or clients to make arrangements for private events. May provide creative design for décor and invitations,"Wedding planner, party planner",13-1121,no
503,Private Event and Portrait Photographers,Personal Services,"Photograph people, landscapes, or other subjects. May use lighting equipment to enhance a subject's appearance. May use editing software to produce finished images and prints","Wedding photographer, headshot photographer",27-4021,no
504,Private Event Videographers,Personal Services,Operate video or film camera to record images or scenes of private events,Wedding videographer,27-4031,no
505,Event Officiants,Personal Services,Lead and facilitate the ceremony for life events such as weddings or funerals. Ceremonies may be religious or civil services,"Wedding officiant, funeral celebrant, clergy, vow renewal officiant",21-2011,no
506,Pet and Show Animal Caretakers,Personal Services,"Feed, water, groom, bathe, exercise, or otherwise provide care to promote and maintain the well-being of pets or show animals","Pet groomer, pet sitter, pet walker, kennel worker, pet trainer, horse groomer",39-2021,no
507,Tutors,Personal Services,Instruct individual students or small groups of students in academic subjects to supplement formal class instruction or to prepare students for standardized or admissions tests. May provide instruction in person or remotely,"Reading tutor, math tutor, language tutor",25-3041,no
508,Nannies and Babysitters,Personal Services,"Attend to children at businesses and private households. Perform a variety of tasks, such as dressing, feeding, bathing, and overseeing play","Au pair, child sitter at hotels and gyms",39-9011,no
509,Visual Artists,Personal Services,Create original visual artwork using any of a wide variety of media and techniques,"Ice sculptor, caricature sketch artist",27-1013,yes
510,Floral Designers,Personal Services,"Design, cut, and arrange live, dried, or artificial flowers and foliage","Corsage maker, florist, flower arranger, event florist",27-1023,yes
601,Skincare Specialists,Personal Appearance and Wellness,Provide skincare treatments to face and body to enhance an individual's appearance,"Facialist, electrologist, spa esthetician",39-5094,no
602,Massage Therapists,Personal Appearance and Wellness,Perform therapeutic massages of soft tissues and joints. May assist in the assessment of range of motion and muscle strength or propose client therapy plans,"Masseuse, deep tissue massage therapist, sports massage therapist",31-9011,no
603,"Barbers, Hairdressers, Hairstylists, and Cosmetologists",Personal Appearance and Wellness,"Provide beauty or barbering services, such as cutting, coloring, and styling hair, massaging and treating scalps, trimming beards or giving shaves","Wig stylist, beautician, hair colorist, hair cutter","39-5012, 39-5011",no
604,Shampooers,Personal Appearance and Wellness,Shampoo and rinse customers' hair,"Scalp treatment specialist, shampoo assistant",39-5093,no
605,Manicurists and Pedicurists,Personal Appearance and Wellness,Clean and shape customers' fingernails and toenails. May polish or decorate nails,"Nail technician, fingernail sculptor, nail painter",39-5092,no
606,Eyebrow and Eyelash Technicians,Personal Appearance and Wellness,"Enhance and maintain clients' eyebrows using techniques such as threading, waxing, or tweezing. Enhance clients' eyelashes using techniques such as tinting or applying extensions",Eyebrow waxer,39-5012,no
607,Makeup Artists,Personal Appearance and Wellness,Design and apply makeup looks,"Wedding makeup artist, party makeup artist",39-5091,no
608,Exercise Trainers and Group Fitness Instructors,Personal Appearance and Wellness,"Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise","Aerobics trainer, yoga instructor, personal trainer",39-9031,no
609,Tattoo Artists and Piercers,Personal Appearance and Wellness,"Design and execute tattoos on a client's skin, often using a needle and ink. Create openings in the human body for the insertion of jewelry. May consult clients on aftercare to promote healing and prevent infection","Tattoo artist, ear piercer, nose piercer",27-1019,no
610,Tailors,Personal Appearance and Wellness,"Design, make, alter, repair, or fit garments","Tailor, seamstress, clothing alterations worker",51-6052,no
611,Shoe and Leather Workers and Repairers,Personal Appearance and Wellness,"Construct, decorate, or repair leather and leather-like products, such as luggage, shoes, and saddles. May use hand tools","Cobbler, shoe shiner",51-6041,no
701,Golf Caddies,Recreation and Instruction,"Assist a golfer during a round of golf by providing practical support and strategic advice. May carry the golfer's bag, manage their clubs, offer guidance on club selection or course strategy","Golf caddie, golf cart attendant",39-3091,no
702,Self-Enrichment Teachers,Recreation and Instruction,"Teach or instruct individuals or groups for the primary purpose of self-enrichment, rather than for an occupational objective, educational attainment, competition, or fitness","Knitting instructor, piano teacher, art instructor, dance teacher",25-3021,no
703,Recreational and Tour Pilots,Recreation and Instruction,"Pilot and navigate the flight of fixed-wing aircraft, helicopters, or other airborne vehicle for recreational or touring purposes. Excludes regional, national, and international airline pilots, and emergency services pilots","Helicopter tour pilot, hot air balloon aeronaut, skydiving pilot",53-2012,no
704,Tour Guides,Recreation and Instruction,"Guide individuals or groups on sightseeing tours or through places of interest, such as industrial establishments, public buildings, and art galleries","Museum guide, sightseeing guide",39-7011,no
705,Travel Guides,Recreation and Instruction,"Plan, organize, and conduct long-distance travel, tours, and expeditions for individuals and groups (covering both indoor and outdoor locations)","Cruise director, river expedition guide",39-7012,no
706,Sports and Recreation Instructors,Recreation and Instruction,"Teach or instruct individuals or groups for the primary purpose of recreation, rather than for an occupational objective, educational attainment, competition, or fitness","Diving instructor, ski instructor, tennis teacher, surfing instructor",25-3021,no
801,Parking and Valet Attendants,Transportation and Delivery,Park vehicles or issue tickets for customers in a parking lot or garage. May park or tend vehicles in environments such as a hotel or restaurant. May collect fee,"Parking garage attendant, valet parker",53-6021,no
802,Taxi and Rideshare Drivers and Chauffeurs,Transportation and Delivery,Drive a motor vehicle to transport passengers on a planned or unplanned basis,"Cab driver, personal driver, platform/app-based rideshare driver",53-3054,no
803,Shuttle Drivers,Transportation and Delivery,"Drive a motor vehicle to transport passengers on a planned route and scheduled basis. May collect a fare. Excludes taxi and rideshare drivers, chauffeurs, municipal bus drivers, and school bus drivers","Airport shuttle driver, hotel shuttle driver, rental car shuttle driver",53-3053,no
804,Goods Delivery People,Transportation and Delivery,"Drive truck or other vehicle to deliver goods, such as food products, appliances, or furniture, or pick up or deliver packages. May also take orders or collect payment at point of delivery","Pizza delivery driver, grocery delivery driver, floral delivery, bicycle courier, package delivery person, appliance delivery driver, furniture delivery person, app/platform-based delivery person",53-3031,no
805,Personal Vehicle and Equipment Cleaners,Transportation and Delivery,"Wash or otherwise clean personal vehicles, machinery, and other equipment. Use such materials as water, cleaning agents, brushes, cloths, and hoses","Car wash attendant, auto detailer, boat waxer",53-7061,no
806,Private and Charter Bus Drivers,Transportation and Delivery,Drive bus or motor coach for charters or private carriage. May assist passengers with baggage,"Motor coach bus driver, tour bus driver",53-3052,no
807,Water Taxi Operators and Charter Boat Workers,Transportation and Delivery,Operate water taxi boats or provide services to passengers on private charter boats. May assist in navigational activities,"Water taxi captain, air boat operator, charter boat deckhand, charter boat steward",53-5022,no
808,"Rickshaw, Pedicab, and Carriage Drivers",Transportation and Delivery,"Operate rickshaw, pedicab, or carriage to transport passengers","Horse drawn carriage driver, bike taxi driver",53-6099,no
809,Home Movers,Transportation and Delivery,"Manually move furniture, music instruments, art, antiques, boxes, luggage, or other materials to or from a home or dwelling","Furniture mover, packer, piano mover, art mover",53-7062,no
810,Gas Pump Attendant,Transportation and Delivery,"Pump gas for customers at a gas station. May also clean the windshield, check the oil level, or check the tire pressure of the customer's car in conjunction with the car being refueled",Gas pumper,53-6031,yes
